die Brise	bryza
der Blitz	błyskawica
das Gewitter	burza
der Sandsturm	burza piaskowa
der Schneesturm	burza śnieżna
die Kälte	chłód
die Wolke	chmura
der Schatten	cień
ein warmes Klima	ciepły klimat
die Stille	cisza
der Zyklon	cyklon
der Regen	deszcz
das Regenwetter	deszczowa pogoda
ein mittelstarker Wind	dość silny wiatr
die Hitzewelle	fala upałów
die Luftmassengrenze	front atmosferyczny
das Glatteis	gołoledź
der Donner	grzmot
ein heftiger Sturm	gwałtowna wichura
ein heftiger Wind	gwałtowny wiatr
der Stern	gwiazda
der Hurrikan	huragan
der Nieselregen	mżawka
das Klima	klimat
das Gebirgsklima	klimat górski
das Kontinentalklima	klimat kontynentalny
das Seeklima	klimat morski
das Polarklima	klimar polarny
das Mittelmeerklima	klimat śródziemnomorski
ein gemäßigtes Klima	klimat umiarkowany